瞿,917
跃,40417
仅,214874
菇,5396
效,392059
筌,7
赘,973
荜,18
婢,83
绥,2747
镨,2
噪,8905
俯,2398
胱,623
击,200277
瑾,2580
侄,2914
指,445103
肆,6648
蚊,9538
完,369499
鲎,14
甓,1
堡,20780
群,348819
吩,195
昵,802
爽,11957
惆,212
奋,50396
遑,205
狒,148
陕,31280
束,73101
忤,34
郦,263
嗨,2744
雪,82208
软,53243
柴,10581
屹,1853
剽,242
殁,147
言,225616
涅,2665
谄,48
枉,2597
玑,524
儒,6113
辙,1867
膝,4377
傧,11
檫,13
脲,57
常,567428
值,267666
霾,18211
髋,519
硌,55
鳏,58
发,2613308
篡,2331
奢,10101
卦,2544
矩,20309
陨,890
啪,1226
潮,68523
菱,4928
哿,7
睾,576
莆,2856
程,638189
簏,1
醒,82636
咔,310
伙,91308
溘,47
舛,316
窠,219
鸣,23627
粤,27187
圩,3289
椭,447
侮,2464
芰,8
蒴,7
家,1903968
麸,108
乃,19280
赅,215
揆,99
蝉,2340
屏,35213
翎,627
付,148129
扛,4527
跚,521
嫠,3
峤,135
闪,14943
顷,8775
役,22285
绸,16204
兽,7933
沅,3261
蜈,171
碍,31369
倒,75280
锔,100
氚,79
肝,15007
骡,425
鲥,40
琪,9874
涯,9068
踮,187
枳,67
玻,17041
杈,157
獐,299
畔,6132
惝,1
湮,256
英,160051
究,322218
黹,1
叻,243
都,819530
百,222975
袂,1574
笋,4790
喔,338
丙,5070
茛,42
蔟,2
亮,106585
佃,149
棂,122
拆,50955
绎,9263
楗,38
俘,1225
蛞,1
照,290176
铪,5
饷,722
长,1321991
谀,150
疑,174110
缢,296
沫,6556
猪,31224
纷,110708
汀,2889
橄,2225
蛇,12170
忍,21991
嗑,500
郓,68
柝,3
形,311279
篥,6
啦,14922
遨,472
迭,3815
楮,11
杲,109
廷,12466
勿,5412
辂,5
簋,204
咐,1674
舟,17844
漭,10
躬,2811
隼,394
赁,21857
濂,333
屋,77630
镑,4464
跖,105
诚,58108
豫,8252
拴,1248
她,163638
盼,13306
沁,1994
悉,132705
锐,17125
侗,2818
氖,15
蚝,694
鲡,15
妣,7
骥,1557
垧,13
琦,6170
爪,2730
夸,6870
逾,16015
慈,42361
哑,2928
曝,29329
幢,2826
童,138151
呦,2476
烩,305
剪,11021
空,352600
灾,142442
芊,503
後,40
笏,101
焓,141
榘,8
果,499411
娥,4305
倩,6714
熨,470
渭,13939
薰,932
莴,153
豁,1911
滂,182
嵋,97
拊,4
盒,15885
敛,4774
损,104699
胞,37641
黢,121
寤,6
赫,12838
旰,11
援,99459
秸,2829
掉,53911
瞑,114
阐,10447
途,65470
挞,433
索,147711
馥,458
咧,1212
眦,39
梯,42360
吼,1839
錾,28
桄,35
扈,463
巍,5431
毙,3942
葜,1
翡,1439
坦,44434
珩,895
仫,34
敲,14465
祺,4442
闽,7173
獾,93
膊,2584
岌,704
谗,41
纠,58120
夥,2
朱,33869
蚰,4
肴,1966
骸,4729
钼,173
草,80649
懊,887
痒,3302
汗,19686
觚,7
壤,19765
韦,8414
曰,1646
艳,26776
惴,199
避,64603
梅,57518
抉,1540
茈,13
皑,628
吒,180
炕,822
渖,1
宣,212857
颥,2
喧,2932
瘦,8091
掳,401
鸶,58
瞻,6439
仁,33202
诃,476
睐,8733
乖,2648
绡,265
狩,814
蛱,10
巷,16500
髹,47
铽,1
凿,2351
牾,14
貂,364
缋,1
钒,378
斜,11787
鬣,74
利,702474
昱,1909
怵,120
庶,471
稹,69
劾,3925
蹁,29
衅,5675
艉,27
惊,55888
奏,21112
卓,15948
瓒,72
苞,1019
忠,52752
鳢,12
叨,1687
轫,306
淬,386
柰,15
命,194592
痼,698
酿,9540
退,121599
瞅,712
阄,83
弊,11812
舌,5570
踔,5
焖,955
眚,2
废,44777
挢,4
炫,6012
漪,1538
键,95213
堰,9217
粳,218
鬲,22
贾,9810
铃,6837
蛏,42
桐,6693
湔,16
兖,185
坚,230083
篝,464
查,673424
筲,98
诽,735
仿,15890
傀,167
球,334639
馆,169764
岈,2
龊,160
昏,9278
氓,816
五,301325
窜,4105
鸟,26849
悠,12944
缵,22
麴,1
改,698780
蒸,8110
呃,25
珂,1803
秆,3556
翊,284
旎,549
毒,122434
触,47500
迪,51327
独,117717
维,210826
蹿,1360
霄,2787
堆,23461
粉,60671
茌,51
褐,1007
钙,2799
骝,83
股,170136
戢,35
掷,2627
耶,7918
榻,1083
捌,140
仕,6953
镘,1
属,221556
腠,30
蝤,3
凫,210
埯,3
巳,394
恶,45389
智,168549
汾,1741
冀,15872
垄,7831
领,609151
侔,29
箜,348
涨,94387
媲,1199
樽,216
讼,41027
遁,901
啃,3501
狂,27959
际,440855
绊,1792
擎,11948
獗,1679
祛,1588
罟,13
鳞,1241
散,66081
歧,14423
称,388794
荷,20432
襻,7
轿,17632
而,366668
涕,1141
谔,104
猖,1934
媛,7387
甚,48453
辩,27173
洪,82131
倬,88
纳,147120
尴,7416
茶,69996
蔺,811
沿,63436
叁,373
嗅,1631
苋,298
橐,9
卖,133930
握,72996
日,879343
捶,301
蟹,8171
咄,780
搏,9967
逗,3537
碜,53
抠,1070
撤,27468
邬,730
垮,5332
笱,4
骰,172
妲,2895
